Tweet_Text,Actual_Urgency,Predicted_Urgency
rt puertorico needs both immediate assistance from the impacts of hurricane maria amp long term solutions build back strong,High,Low
cholera cases have been reported amp there is threat of more waterborne diseases lack of clean water amp access to sanitation facilities are huge problems facing survivors care are currently distributing hygiene kits cycloneidai,Medium,Low
tsunami sirens ongoing in the hutt everyones evacuating eqnz,High,Medium
maria continues to pull away from the bahamas this morning while lee has become a hurricane well away from any land areas,Low,Medium
president trump sec mattis and dod should send the navy including the usns comfort to puerto rico now these are american citizens,Low,High
be wary of people impersonating fpl workers asking to enter homes fpl does not need to go inside houses always check for id irma,Low,High
skaters hit quakedamaged roads kaikoura eqnz,Medium,Low
fyi people in miami and irmas path once the water comes in power goes off everywhere even high rises no ac for days dont stay,Medium,Low
new podcast harvey has wrought destruction everywhere what now also a discussion about visit,Low,Medium
rt rt sirjadeja breaking massive 71 magnitude earthquake strikes mexico city prayers ὤfἷe mexicoearthquake sism ht,Low,Medium
rt steps to take to keep your food water amp medicines safe can be found here hurricaneharvey,Medium,Low
rt 5 days after hurricanemaria gov has finally established communication with all of the 78 mayors says,Low,Medium
i just do not know why cycloneidai is not trending there is much more needed help and many people have lost their lives we need to pray and help the families who lost their relatives,Low,High
palm beach county animals still need our help after hurricaneirma thank you for your continued support,High,Low
winds and waves definitely starting to pick up here in rockport tx waves nearing the back of the homes hurricaneharvey,Low,Medium
hurricane maria dont eat food that may have come into contact with flood water more info on keeping food safe,Low,Medium
30000 might lose their homes due to hurricaneharvey provide immediate aid to those in need via,Medium,Low
rt breaking news has announced that no tax avoiding trusts were damaged in the earthquake this morning nzpol,Low,Medium
omg what a horrific thing to have to go through hoping there are no more deaths and losses,Low,High
please help everyone get puerto rico back to the top of their list of concerns conditions described as apocalyptic hurricanemaria,High,Low
government of the usvi is working to assess damage to the territory following the passage of hurricane maria,Low,Medium
some believe that hurricane irma died of natural causes i say she was killed by prayer,Low,High
hurricane maria potential storm surge flooding map ek3tech ilovejax stormwatch,Low,Medium
many of our colleagues are away from their homes to fulfill the mission we applaud you all irma wildfires natlprep cawx,Low,Medium
continue to pray with us for the many churches damaged by hurricane maria,Low,Medium
im out on the golden isles though not in the city we flood in heavy rain and the tides coming in,Low,Medium
rt here is a list of what is still urgently required thank you for all the generous donations cycloneidai,High,Low
your administration is failing urgent,Low,High
heres our first story on plant at risk of explosion,Low,Medium
portarthurtx emergencynumbers harveysos harveystorm if you need help call the numbers below or reply to tweet,Low,High
if you need help after irma here is a resources available this weekend,Low,High
lack of electricity cell service and fuel makes rescue efforts more difficult in the aftermath of hurricane maria in puerto rico j2150o,Medium,Low
bridge washed out in haiti in the aftermath and devastation from monster hurricane matthew civilians help each other across to otherside,Medium,Low
news armenian harvey causes catastrophic flooding in houston shuts down airport fox news fox news harvey,Low,Medium
its on its way over to us how prepared are we for this imminent disaster what have we put in place as emergency planning and interventions have we already started evacuating people reports say chimanimani may already have been hit what is happening therepanenyaya,Low,Medium
a door open to rubble was once a home in pescara del tronto italyearthquake,Medium,Low
if you need help cleaning up afterirma please call the number below brevard irma,Low,High
purple areas in these photos are the seabed uplift due to the 75 eq nature has incredible power eqnz,Low,Medium
24 of cell sites in the harvey affected areas are out of service down from 38 yesterday more,Medium,Low
current radar 1058pm edt see live scans wx news weather storm hail tornado maria,Low,Medium
rt at least 45 aftershocks in new zealand earthquake five rated severe including initial 75 quake eqnz,Low,Medium
ports railroads suspend operations as flooding from hurricane harvey continues shipping news,Medium,Low
cycloneidai wiped out many human lives there are children from chimanimani amp chipinge who were in boarding school they closed yesterday amp they went back 2 nobody surviving majority perished or th most important people in their lives no more who is handling these cases,High,Low
hurricane harvey hits hard on texas crops by agriculture,Medium,Low
nzstuff no tsunami threat to new zealand after 73 magnitude earthquake hits off the coast of fukushima japan,Low,Medium
nws has been loading a lot of harvey landfall survey images into their damage viewer,Low,Medium
oh man theres nothing quite like waking up to an earthquake and then there being a tsunami warning living by the beach has downsides ὠ5,Low,Medium
breaking ahead of the game florida seniors nursing homes prep for hurricane irma,Low,High
i know my old friend has seen the water warnings idk why shes swimming in it oh well the bitch has always been hard headed,Medium,Low
time to stop taking photos of low water in naples area lifethreatening opposite coming fast as irma eye passes get away from the water,Medium,Low
mayor says officer to officer steveperez was the officer who drowned in hurricaneharvey floods,High,Low
photomaps aerial imagery of hurricaneharvey damage to in port aransas tx,Low,Medium
80 human beings entire families tragically die in greece and this is one of many such reactions from their northern neighbors in the fyrom ignorance breeds ignorance and these pseudomacedonians have it in spades disgusting creatures greecefires athensfires πυρκαγια,High,Low
this shows fake unfortunately had a friend in miami that was on it i think irma killed him tho,Low,High
rt hi weve seen the reports about the recent earthquake in japan civil defence advise there is no tsunami threat to new zeala,Low,Medium
bipartisan lawmakers planned a friday trip to puertorico to survey damage from hurricanemaria but trump denied them a federal plane until after he visits fragile ego,Low,Medium
called my senators about this today is a ranking member of the senate veterans committee please help our fellow americans,High,Low
in cyclonehit mozambique a quest to find and name the dead some of them wore the uniforms of neighboring zimbabwes security forces having been swept down mountainsides some 100 kilometers away by the raging waters cycloneidai,Low,High
rt some of the first of the damage our crew is seeing around sanjuan hurricanemaria,Low,Medium
rt urgent voice foundation urgently need sugar for floodsl victims call akash 0772512374 to contribute lka srilanka flood,Low,High
rt 2 floods an infrastructure problem,Medium,Low
iea rt ieabirol our thoughts are with the residents and workers of fort mcmurray alberta as wildfire forces evacuation,Low,High
if you are a chronicillness or specialneeds family amp need help or can donate contact us irmapatients harveypatients hurricaneirma,Low,High
fundraiser started to help photojournalist wesley bocxe seriously injured in mexico city earthquake,High,Low
florida puertorico residents mass exodus to miami after hurricanemaria,Low,High
austin pets alive save shelter and rescuepets from hurricaneharvey pls rt,Low,High
rt when disaster strikes we help people when they need it most you can help too support,Low,High
26magnitude earthquake felt in las colinas,Medium,Low
hurricane harvey some 779000 texans have been told to leave their homes and another 980000 fled voluntarily,High,Medium
dstrrescueneeded potus help is needed badly humanitarian,Low,High
volunteers create human chain to clear rubble from a collapsed building in mexico city after major earthquake,Low,Medium
vice president surveys earthquake damage in ecuador,Low,Medium
dave you actually can help us and it will mean a lot,High,Low
